FEN,bestmove,eval
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,d2d4,27
rnbqkbnr/pppp1ppp/8/8/3pP3/5N2/PPP2PPP/RNBQKB1R b KQkq - 1 3,f8b4,4
rnbqkbnr/pp1p1Np1/7p/2p5/3pP3/8/PPP2PPP/RNBQKB1R b KQkq - 0 5,e8f7,205
rnbqkb1r/pppp1pp1/5n1p/4p3/4P3/2PP4/PP3PPP/RNBQKBNR w KQkq - 1 4,f2f4,3
rnbqk2r/pppp1pp1/1b3n1p/4p3/1P2P3/2PP1P2/P5PP/RNBQKBNR w KQkq - 1 6,d3d4,-161
rnbq1rk1/pppp1ppn/1b5p/4p3/1P2P1PP/2PP1P2/P3Q3/RNB1KBNR b KQ h3 0 8,d7d5,171
r1bq1rk1/pppn1ppn/1b1p3p/4p1P1/1P2P2P/2PP1P2/P5Q1/RNB1KBNR b KQ - 0 10,h6h5,125
r1bq1rk1/pppn1ppn/3p3p/4p1P1/1P2P2P/2PP1P2/P5Q1/RNB1KBbR w KQ - 0 11,g5h6,155
r1bqkb1r/pppp1ppp/2n2n2/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 4 4,d2d3,24
r1bqkb1r/ppp2ppp/2n2n2/3pP3/2Bp4/5N2/PPP2PPP/RNBQK2R w KQkq d6 0 6,c4b5,8
r1bqkb1r/ppp2ppp/2n2P2/8/2pp4/5N2/PPP2PPP/RNBQK2R w KQkq - 0 7,c2c3,-250
r1bqkbnr/pppp1ppp/8/1B2p3/3NP3/8/PPPP1PPP/RNBQK2R b KQkq - 0 4,e5d4,-62
r1bqkbnr/pp1p1ppp/2p5/8/B2pP3/2P5/PP1P1PPP/RNBQK2R b KQkq - 1 6,f8c5,-9
r1bqkb1r/p4ppp/2p2n2/1p1p4/3PP3/2P5/P1B2PPP/RNBQK2R w KQkq d6 0 10,e4e5,135
r1bqkb1r/pppp1ppp/2n2n2/4p3/2B1P3/2N2N2/PPPP1PPP/R1BQK2R b KQkq - 5 4,f6e4,0
r1bqk2r/pppp1pp1/2n2n1p/4p3/1bB1P3/2NP1N2/PPPB1PPP/R2QK2R b KQkq - 2 6,e8g8,-2
r2q1rk1/ppp2pp1/2npbn1p/3Np3/2B1P3/P2P1N2/1PPQ1PPP/R3K2R w KQ - 1 10,d5f6,-21
rnbqkbnr/ppp1pppp/8/3p4/4P3/8/PPPP1PPP/RNBQKBNR w KQkq d6 0 2,e4d5,75
rnb1kbnr/ppp1pppp/8/3q4/8/8/PPPP1PPP/RNBQKBNR w KQkq - 0 3,b1c3,63
rnbqkb1r/ppp1pppp/5n2/8/3P4/2N5/PPP2PPP/R1BQKBNR w KQkq - 1 5,g1f3,60
rnbqk2r/ppp1ppbp/5np1/8/3P4/2N2N1P/PPP2PP1/R1BQKB1R w KQkq - 2 7,f1c4,83
rnbq1rk1/ppp1ppbp/5np1/8/2BP4/2N2N1P/PPP2PP1/R1BQ1RK1 b - - 5 8,b7b6,-69
r1bq1rk1/1pp1ppbp/p1n2np1/6B1/2BP4/2N2N1P/PPP2PP1/R2QR1K1 b - - 1 10,b7b5,-59
r1bqkbnr/pppp1ppp/2n5/8/3NP3/8/PPP2PPP/RNBQKB1R b KQkq - 0 4,g8f6,-10
r1b1kbnr/pppp1ppp/5q2/8/3QP3/8/PPP2PPP/RNB1KB1R w KQkq - 1 6,d4c4,69
r1b1kbnr/pppp1ppp/1q6/4P3/5Q2/8/PPP2PPP/RNB1KB1R b KQkq - 2 7,d7d5,-1
r3kbnr/ppp2ppp/1q1pb3/4P3/2B2Q2/8/PPP2PPP/RNB1K2R w KQkq - 2 9,c4e6,30
r3kbnr/ppp3pp/1q2p3/4p3/5Q2/8/PPP2PPP/RNB2RK1 w kq - 0 11,f4a4,76
r3kb1r/ppp3pp/1q2pn2/4Q3/8/2N5/PPP2PPP/R1B2RK1 b kq - 2 12,e8c8,-26
r1bqkbnr/pppp1ppp/2n5/1B2p3/4P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 3 3,g8f6,-28
r1bqk1nr/ppp2ppp/2np4/1Bb1p3/4P3/5N2/PPPP1PPP/RNBQ1RK1 w kq - 0 5,c2c3,36
r1bqk2r/ppp2ppp/2np1n2/1Bb1p3/4P3/5N1P/PPPP1PP1/RNBQ1RK1 w kq - 1 6,c2c3,34
r1bq1rk1/ppp2ppp/2np1n2/1Bb1p3/4P3/2P2N1P/PP1P1PP1/RNBQR1K1 b - - 0 7,c5b6,-31
r1bq1rk1/1pp2ppp/p1np1n2/2b1p3/B3P3/2P2N1P/PP1P1PP1/RNBQR1K1 b - - 1 8,b7b5,-16
r1bq1rk1/1pp2pp1/p1np1n1p/2b1p3/B2PP3/2P2N1P/PP3PP1/RNBQR1K1 b - d3 0 9,c5a7,-69
